0,1,2,3,4,5,6,7,8,9,10,11,12
GPRMC,145053.000,A,4308.5390,N,07727.7101,W,31.39,274.17,010525,,,"A*44
"
GPRMC,145053.500,A,4308.5392,N,07727.7160,W,31.15,273.64,010525,,,"A*49
"
GPRMC,145054.000,A,4308.5394,N,07727.7218,W,30.46,273.46,010525,,,"A*46
"
GPRMC,145054.500,A,4308.5396,N,07727.7276,W,30.52,274.12,010525,,,"A*4A
"
GPRMC,145055.000,A,4308.5399,N,07727.7334,W,30.73,274.33,010525,,,"A*46
"
GPRMC,145055.500,A,4308.5401,N,07727.7391,W,30.69,274.37,010525,,,"A*45
"
GPRMC,145056.000,A,4308.5404,N,07727.7448,W,30.64,274.62,010525,,,"A*48
"
GPRMC,145056.500,A,4308.5406,N,07727.7504,W,30.47,274.74,010525,,,"A*40
"
GPRMC,145057.000,A,4308.5408,N,07727.7557,W,28.53,274.27,010525,,,"A*46
"
GPRMC,145057.500,A,4308.5410,N,07727.7611,W,28.09,274.45,010525,,,"A*40
"
GPRMC,145058.000,A,4308.5412,N,07727.7663,W,27.73,274.15,010525,,,"A*4A
"
GPRMC,145058.500,A,4308.5415,N,07727.7715,W,27.42,274.51,010525,,,"A*4A
"
GPRMC,145059.000,A,4308.5417,N,07727.7765,W,27.22,274.39,010525,,,"A*43
"
GPRMC,145059.500,A,4308.5419,N,07727.7816,W,26.99,274.53,010525,,,"A*4E
"
GPRMC,145100.000,A,4308.5421,N,07727.7865,W,25.65,274.51,010525,,,"A*4B
"
GPRMC,145100.500,A,4308.5423,N,07727.7912,W,24.92,275.10,010525,,,"A*40
"
GPRMC,145101.000,A,4308.5424,N,07727.7956,W,22.81,277.01,010525,,,"A*45
"
GPRMC,145101.500,A,4308.5426,N,07727.7995,W,21.05,277.87,010525,,,"A*4C
"
GPRMC,145102.000,A,4308.5421,N,07727.8027,W,18.62,276.89,010525,,,"A*46
"
GPRMC,145102.500,A,4308.5423,N,07727.8057,W,16.74,278.19,010525,,,"A*48
"
GPRMC,145103.000,A,4308.5424,N,07727.8082,W,14.71,280.51,010525,,,"A*4F
"
GPRMC,145103.500,A,4308.5426,N,07727.8105,W,13.01,281.78,010525,,,"A*4C
"
GPRMC,145104.000,A,4308.5426,N,07727.8121,W,10.67,283.59,010525,,,"A*4A
"
GPRMC,145104.500,A,4308.5428,N,07727.8136,W,9.04,285.97,010525,,,"A*7E
"
GPRMC,145105.000,A,4308.5429,N,07727.8144,W,6.37,289.97,010525,,,"A*7D
"
GPRMC,145105.500,A,4308.5429,N,07727.8148,W,4.13,291.26,010525,,,"A*73
"
GPRMC,145106.000,A,4308.5427,N,07727.8148,W,2.22,299.57,010525,,,"A*71
"
GPRMC,145109.500,A,4308.5430,N,07727.8153,W,2.51,299.57,010525,,,"A*73
"
GPRMC,145110.000,A,4308.5428,N,07727.8158,W,2.94,270.87,010525,,,"A*7F
"
GPRMC,145110.500,A,4308.5418,N,07727.8169,W,5.59,245.73,010525,,,"A*70
"
GPRMC,145111.000,A,4308.5398,N,07727.8175,W,7.39,210.44,010525,,,"A*76
"
GPRMC,145111.500,A,4308.5377,N,07727.8180,W,9.81,198.69,010525,,,"A*79
"
GPRMC,145112.000,A,4308.5351,N,07727.8182,W,12.20,189.04,010525,,,"A*43
"
GPRMC,145112.500,A,4308.5328,N,07727.8183,W,13.47,185.01,010525,,,"A*40
"
GPRMC,145113.000,A,4308.5301,N,07727.8182,W,15.44,180.62,010525,,,"A*4B
"
GPRMC,145113.500,A,4308.5271,N,07727.8184,W,17.39,180.43,010525,,,"A*45
"
GPRMC,145114.000,A,4308.5238,N,07727.8183,W,19.16,179.36,010525,,,"A*4A
"
GPRMC,145114.500,A,4308.5203,N,07727.8187,W,20.85,181.24,010525,,,"A*47
"
GPRMC,145115.000,A,4308.5165,N,07727.8189,W,22.77,180.28,010525,,,"A*4C
"
GPRMC,145115.500,A,4308.5126,N,07727.8194,W,24.60,181.18,010525,,,"A*40
"
GPRMC,145116.000,A,4308.5084,N,07727.8200,W,26.31,182.57,010525,,,"A*4F
"
GPRMC,145116.500,A,4308.5043,N,07727.8204,W,27.66,182.60,010525,,,"A*42
"
GPRMC,145117.000,A,4308.4999,N,07727.8208,W,29.25,182.93,010525,,,"A*40
"
GPRMC,145117.500,A,4308.4955,N,07727.8211,W,29.85,182.69,010525,,,"A*42
"
GPRMC,145118.000,A,4308.4912,N,07727.8213,W,30.21,182.82,010525,,,"A*4A
"
GPRMC,145118.500,A,4308.4868,N,07727.8218,W,30.58,183.66,010525,,,"A*4D
"
GPRMC,145119.000,A,4308.4825,N,07727.8223,W,30.64,183.76,010525,,,"A*46
"
GPRMC,145119.500,A,4308.4781,N,07727.8229,W,30.94,183.63,010525,,,"A*43
"
GPRMC,145120.000,A,4308.4739,N,07727.8233,W,30.64,183.92,010525,,,"A*45
"
GPRMC,145120.500,A,4308.4694,N,07727.8237,W,30.86,183.65,010525,,,"A*46
"
GPRMC,145121.000,A,4308.4649,N,07727.8241,W,31.23,183.08,010525,,,"A*46
"
GPRMC,145121.500,A,4308.4604,N,07727.8243,W,31.34,182.38,010525,,,"A*4C
"
GPRMC,145122.000,A,4308.4556,N,07727.8243,W,31.82,181.26,010525,,,"A*4F
"
GPRMC,145122.500,A,4308.4509,N,07727.8246,W,31.99,181.79,010525,,,"A*45
"
GPRMC,145123.000,A,4308.4463,N,07727.8248,W,31.95,182.53,010525,,,"A*45
"
GPRMC,145123.500,A,4308.4420,N,07727.8252,W,31.46,182.86,010525,,,"A*4A
"
GPRMC,145124.000,A,4308.4376,N,07727.8260,W,30.05,182.23,010525,,,"A*44
"
GPRMC,145124.500,A,4308.4331,N,07727.8265,W,30.37,182.40,010525,,,"A*43
"
GPRMC,145125.000,A,4308.4287,N,07727.8269,W,30.44,182.63,010525,,,"A*42
"
GPRMC,145125.500,A,4308.4244,N,07727.8271,W,30.37,182.31,010525,,,"A*42
"
GPRMC,145126.000,A,4308.4201,N,07727.8274,W,30.34,182.16,010525,,,"A*46
"
GPRMC,145126.500,A,4308.4159,N,07727.8275,W,30.37,181.34,010525,,,"A*4C
"
GPRMC,145127.000,A,4308.4117,N,07727.8277,W,30.41,182.23,010525,,,"A*44
"
GPRMC,145127.500,A,4308.4075,N,07727.8279,W,30.42,182.64,010525,,,"A*4A
"
GPRMC,145128.000,A,4308.4034,N,07727.8279,W,30.16,181.65,010525,,,"A*46
"
GPRMC,145128.500,A,4308.3991,N,07727.8278,W,30.17,180.64,010525,,,"A*42
"
GPRMC,145129.000,A,4308.3949,N,07727.8276,W,30.12,179.74,010525,,,"A*4F
"
GPRMC,145129.500,A,4308.3906,N,07727.8275,W,30.07,179.31,010525,,,"A*47
"
GPRMC,145130.000,A,4308.3863,N,07727.8276,W,29.78,180.39,010525,,,"A*45
"
GPRMC,145130.500,A,4308.3821,N,07727.8277,W,29.48,181.13,010525,,,"A*4D
"
GPRMC,145131.000,A,4308.3778,N,07727.8277,W,29.02,181.15,010525,,,"A*42
"
GPRMC,145131.500,A,4308.3737,N,07727.8278,W,28.73,181.31,010525,,,"A*42
"
GPRMC,145132.000,A,4308.3697,N,07727.8281,W,28.51,182.03,010525,,,"A*4B
"
GPRMC,145132.500,A,4308.3656,N,07727.8283,W,28.52,182.26,010525,,,"A*45
"
GPRMC,145133.000,A,4308.3613,N,07727.8284,W,28.75,182.47,010525,,,"A*45
"
GPRMC,145133.500,A,4308.3570,N,07727.8286,W,28.79,182.35,010525,,,"A*4D
"
GPRMC,145134.000,A,4308.3529,N,07727.8289,W,28.55,182.57,010525,,,"A*46
"
GPRMC,145134.500,A,4308.3490,N,07727.8290,W,28.11,182.26,010525,,,"A*4E
"
GPRMC,145135.000,A,4308.3451,N,07727.8293,W,27.89,182.23,010525,,,"A*4F
"
